BLK_NO,STREET,MAX_FLOOR_LEVEL,YEAR_COMPLETED,RESIDENTIAL,COMMERCIAL,MARKET_HAWKER,MULTISTOREY_CARPARK,TOTAL_DWELLING_UNITS,REMAINING_LEASE,ADDRESS,lat,lon,postal
101,BEDOK NTH AVE 4,13,1977,Y,N,N,N,168,50,101 BEDOK NTH AVE 4 Singapore,1.334484667,103.9379247,460101
101,BIDADARI PK DR,2,2019,N,N,N,Y,0,92,101 BIDADARI PK DR Singapore,1.3361,103.871,341101
101,BISHAN ST 12,25,1986,Y,N,N,N,92,59,101 BISHAN ST 12 Singapore,1.344859158,103.8484008,570101
101,BT BATOK WEST AVE 6,13,1984,Y,N,N,N,96,57,101 BT BATOK WEST AVE 6 Singapore,1.346706361,103.7469207,650101
101,BT PURMEI RD,11,1982,Y,N,N,N,140,55,101 BT PURMEI RD Singapore,1.271462566,103.8256835,090101
101,C'WEALTH CRES,10,1964,Y,N,N,N,76,37,101 C'WEALTH CRES Singapore,1.3071,103.8001,140101
101,CANBERRA ST,1,2019,N,N,N,N,0,92,101 CANBERRA ST Singapore,1.451399986,103.83086,750101
101,CLEMENTI ST 14,15,1984,Y,N,N,N,112,57,101 CLEMENTI ST 14 Singapore,1.322089368,103.7689334,120101
101,GANGSA RD,13,1986,Y,N,N,N,60,59,101 GANGSA RD Singapore,1.379164316,103.7674393,670101
101,HENDERSON CRES,12,1967,Y,N,N,N,96,40,101 HENDERSON CRES Singapore,1.290717998,103.8216252,150101
101,HOUGANG AVE 1,9,1983,Y,N,N,N,108,56,101 HOUGANG AVE 1 Singapore,1.354937478,103.8913606,530101
101,JLN RAJAH,17,1980,Y,N,N,N,128,53,101 JLN RAJAH Singapore,1.328714784,103.8505453,321101
101,JURONG EAST ST 13,16,1982,Y,N,N,N,238,55,101 JURONG EAST ST 13 Singapore,1.337011008,103.7387873,600101
101,LENGKONG TIGA,4,1988,Y,N,N,N,10,61,101 LENGKONG TIGA Singapore,1.325159834,103.9108888,410101
101,PASIR RIS ST 12,13,1988,Y,N,N,N,96,61,101 PASIR RIS ST 12 Singapore,1.367050215,103.9581819,510101
101,POTONG PASIR AVE 1,16,1984,Y,N,N,N,120,57,101 POTONG PASIR AVE 1 Singapore,1.333157101,103.8683804,350101
101,PUNGGOL FIELD,4,2001,N,N,N,Y,0,74,101 PUNGGOL FIELD Singapore,1.398481661,103.9058081,820101
101,RIVERVALE WALK,17,1998,Y,N,N,N,131,71,101 RIVERVALE WALK Singapore,1.382764289,103.899272,540101
101,SERANGOON NTH AVE 1,13,1984,Y,N,N,N,144,57,101 SERANGOON NTH AVE 1 Singapore,1.37103632,103.8703609,550101
101,SIMEI ST 1,11,1988,Y,N,N,N,140,61,101 SIMEI ST 1 Singapore,1.340849911,103.9514337,520101
101,SPOTTISWOODE PK RD,20,1973,Y,N,N,N,76,46,101 SPOTTISWOODE PK RD Singapore,1.2745,103.8345,080101
101,TAMPINES ST 11,11,1981,Y,N,N,N,120,54,101 TAMPINES ST 11 Singapore,1.347400346,103.9452949,521101
101,TECK WHYE LANE,13,1988,Y,N,N,N,66,61,101 TECK WHYE LANE Singapore,1.377889646,103.7542399,680101
101,TOWNER RD,4,1982,Y,Y,N,N,44,55,101 TOWNER RD Singapore,1.31942539,103.8610875,322101
101,WHAMPOA DR,25,1973,Y,Y,N,N,96,46,101 WHAMPOA DR Singapore,1.320417102,103.8538139,323101
101,WOODLANDS ST 13,10,1984,Y,N,N,N,146,57,101 WOODLANDS ST 13 Singapore,1.435982685,103.7819327,730101
101,YISHUN AVE 5,4,1977,Y,Y,N,N,107,50,101 YISHUN AVE 5 Singapore,1.430535754,103.8276677,760101
101A,BIDADARI PK DR,16,2020,Y,N,N,N,295,93,101A BIDADARI PK DR Singapore,1.3364,103.871,341101
101A,CANBERRA ST,15,2019,Y,N,N,N,164,92,101A CANBERRA ST Singapore,1.451738928,103.8304541,751101
101A,LOR 2 TOA PAYOH,17,1992,Y,N,N,N,64,65,101A LOR 2 TOA PAYOH Singapore,1.339741267,103.8472642,310101
101A,PUNGGOL FIELD,16,2001,Y,N,N,N,82,74,101A PUNGGOL FIELD Singapore,1.397946168,103.9059451,821101
101A,YISHUN AVE 5,1,1984,N,Y,N,N,0,57,101A YISHUN AVE 5 Singapore,1.43113229,103.8283671,761101
101B,CANBERRA ST,16,2019,Y,N,N,N,240,92,101B CANBERRA ST Singapore,1.451663104,103.8311749,752101
101B,LOR 2 TOA PAYOH,13,1992,Y,N,N,N,48,65,101B LOR 2 TOA PAYOH Singapore,1.339598845,103.8476054,311101
101B,PUNGGOL FIELD,17,2001,Y,N,N,N,92,74,101B PUNGGOL FIELD Singapore,1.397847151,103.9064361,822101
101B,YISHUN AVE 5,1,1984,N,Y,N,N,0,57,101B YISHUN AVE 5 Singapore,1.431391617,103.8282301,762101
101C,LOR 2 TOA PAYOH,4,1992,N,N,N,Y,0,65,101C LOR 2 TOA PAYOH Singapore,1.339260187,103.8470638,312101
101C,PUNGGOL FIELD,17,2001,Y,Y,N,N,86,74,101C PUNGGOL FIELD Singapore,1.398090458,103.9065693,823101
101C,YISHUN AVE 5,1,1984,N,Y,N,N,0,57,101C YISHUN AVE 5 Singapore,1.431532551,103.8279876,763101
101D,PUNGGOL FIELD,17,2001,Y,N,N,N,85,74,101D PUNGGOL FIELD Singapore,1.398484785,103.9061439,824101
102,ALJUNIED CRES,12,1977,Y,N,N,N,150,50,102 ALJUNIED CRES Singapore,1.32043903,103.8824204,380102
102,ANG MO KIO AVE 3,12,1977,Y,N,N,N,88,50,102 ANG MO KIO AVE 3 Singapore,1.370650092,103.8394103,560102
102,BEDOK NTH AVE 4,14,1976,Y,N,N,N,149,49,102 BEDOK NTH AVE 4 Singapore,1.333906548,103.9374584,460102
102,BEDOK RESERVOIR RD,4,1985,Y,N,N,N,24,58,102 BEDOK RESERVOIR RD Singapore,1.328491877,103.9092652,470102
102,BISHAN ST 12,25,1986,Y,N,N,N,92,59,102 BISHAN ST 12 Singapore,1.345143123,103.8479908,570102
102,BT BATOK WEST AVE 6,13,1984,Y,N,N,N,96,57,102 BT BATOK WEST AVE 6 Singapore,1.347458339,103.7474733,650102
102,BT PURMEI RD,10,1983,Y,N,N,N,147,56,102 BT PURMEI RD Singapore,1.271908423,103.8266717,090102
102,C'WEALTH CRES,10,1964,Y,N,N,N,95,37,102 C'WEALTH CRES Singapore,1.3071,103.8001,140102
102,CANBERRA ST,6,2019,N,N,N,Y,0,92,102 CANBERRA ST Singapore,1.451834491,103.8321067,750102
102,CLEMENTI ST 14,4,1984,Y,N,N,N,8,57,102 CLEMENTI ST 14 Singapore,1.322285572,103.7692019,120102
102,DEPOT RD,1,2017,N,N,N,N,0,90,102 DEPOT RD Singapore,1.280337007,103.8135102,100102
102,GANGSA RD,10,1986,Y,N,N,N,90,59,102 GANGSA RD Singapore,1.379107628,103.7681538,670102
102,HENDERSON CRES,14,1967,Y,N,N,N,140,40,102 HENDERSON CRES Singapore,1.290366187,103.8215771,150102
102,HOUGANG AVE 1,13,1983,Y,Y,N,N,90,56,102 HOUGANG AVE 1 Singapore,1.354964463,103.8908551,530102
102,JLN RAJAH,12,1980,Y,Y,N,N,198,53,102 JLN RAJAH Singapore,1.328223064,103.8515198,321102
102,JLN DUSUN,25,1981,Y,N,N,N,96,54,102 JLN DUSUN Singapore,1.327868743,103.8442096,320102
102,JURONG EAST ST 13,12,1981,Y,N,N,N,196,54,102 JURONG EAST ST 13 Singapore,1.336096579,103.7382192,600102
102,LENGKONG TIGA,14,1988,Y,N,N,N,73,61,102 LENGKONG TIGA Singapore,1.325579307,103.9106575,410102
102,PASIR RIS ST 12,13,1988,Y,N,N,N,96,61,102 PASIR RIS ST 12 Singapore,1.367484273,103.9580411,510102
102,POTONG PASIR AVE 1,16,1983,Y,Y,N,N,167,56,102 POTONG PASIR AVE 1 Singapore,1.333690127,103.8688106,350102
102,PUNGGOL FIELD,1,2001,N,N,N,N,0,74,102 PUNGGOL FIELD Singapore,1.398280578,103.9056544,820102
102,RIVERVALE WALK,17,1998,Y,N,N,N,129,71,102 RIVERVALE WALK Singapore,1.38180761,103.9008932,540102
102,SERANGOON NTH AVE 1,4,1984,Y,N,N,N,24,57,102 SERANGOON NTH AVE 1 Singapore,1.370843273,103.8711536,550102
102,SIMEI ST 1,11,1988,Y,N,N,N,100,61,102 SIMEI ST 1 Singapore,1.34134725,103.9513551,520102
102,SPOTTISWOODE PK RD,20,1973,Y,Y,N,N,76,46,102 SPOTTISWOODE PK RD Singapore,1.2745,103.8345,080102
102,TAMPINES ST 11,11,1982,Y,N,N,N,140,55,102 TAMPINES ST 11 Singapore,1.346716163,103.9455214,521102
102,TECK WHYE LANE,9,1988,Y,N,N,N,64,61,102 TECK WHYE LANE Singapore,1.377082841,103.7543944,680102
102,TOWNER RD,4,1983,Y,Y,N,N,36,56,102 TOWNER RD Singapore,1.320586095,103.862002,322102
102,WOODLANDS ST 13,12,1984,Y,N,N,N,110,57,102 WOODLANDS ST 13 Singapore,1.436082949,103.7811996,730102
102A,BIDADARI PK DR,16,2020,Y,N,N,N,205,93,102A BIDADARI PK DR Singapore,1.3367,103.871,341102
102A,CANBERRA ST,17,2019,Y,N,N,N,190,92,102A CANBERRA ST Singapore,1.451193905,103.8322276,751102
102A,DEPOT RD,21,2016,Y,N,N,N,114,89,102A DEPOT RD Singapore,1.280291346,103.8133324,101102
102A,PUNGGOL FIELD,17,2001,Y,N,N,N,85,74,102A PUNGGOL FIELD Singapore,1.398833183,103.9057836,821102
102A,RIVERVALE WALK,5,1997,N,N,N,Y,0,70,102A RIVERVALE WALK Singapore,1.38215139,103.9000751,541102
102B,BIDADARI PK DR,16,2020,Y,N,N,N,200,93,102B BIDADARI PK DR Singapore,1.3371,103.871,342102
102B,CANBERRA ST,16,2019,Y,N,N,N,210,92,102B CANBERRA ST Singapore,1.451239704,103.8314364,752102
102B,PUNGGOL FIELD,17,2001,Y,N,N,N,86,74,102B PUNGGOL FIELD Singapore,1.399085258,103.9054714,822102
102C,CANBERRA ST,1,2020,N,N,N,N,0,93,102C CANBERRA ST Singapore,1.45155993,103.8317651,753102
102C,PUNGGOL FIELD,17,2000,Y,N,N,N,92,73,102C PUNGGOL FIELD Singapore,1.398761278,103.904939,823102
102D,PUNGGOL FIELD,16,2001,Y,N,N,N,82,74,102D PUNGGOL FIELD Singapore,1.398480708,103.9052498,824102
103,AH HOOD RD,25,1981,Y,N,N,N,96,54,103 AH HOOD RD Singapore,1.327962675,103.844827,320103
103,ALJUNIED CRES,12,1977,Y,N,N,N,154,50,103 ALJUNIED CRES Singapore,1.320516922,103.8832703,380103
103,ANG MO KIO AVE 3,12,1977,Y,N,N,N,131,50,103 ANG MO KIO AVE 3 Singapore,1.371016578,103.8393048,560103
103,BEDOK RESERVOIR RD,12,1985,Y,Y,N,N,154,58,103 BEDOK RESERVOIR RD Singapore,1.328770222,103.9093814,470103
103,BEDOK NTH AVE 4,14,1976,Y,N,N,N,154,49,103 BEDOK NTH AVE 4 Singapore,1.333482588,103.9375425,460103
103,BISHAN ST 12,25,1986,Y,N,N,N,92,59,103 BISHAN ST 12 Singapore,1.345512491,103.8483142,570103
103,BT BATOK CTRL,13,1984,Y,N,N,N,96,57,103 BT BATOK CTRL Singapore,1.348223682,103.7480345,650103
