BLK_NO,STREET,MAX_FLOOR_LEVEL,YEAR_COMPLETED,RESIDENTIAL,COMMERCIAL,MARKET_HAWKER,MULTISTOREY_CARPARK,TOTAL_DWELLING_UNITS,REMAINING_LEASE,ADDRESS,lat,lon,postal
102,CLEMENTI ST 14,4,1984,Y,N,N,N,8,57,102 CLEMENTI ST 14 Singapore,1.32228557225905,103.769201884359,120102
102,DEPOT RD,1,2017,N,N,N,N,0,90,102 DEPOT RD Singapore,1.28033700695655,103.813510155208,100102
102,GANGSA RD,10,1986,Y,N,N,N,90,59,102 GANGSA RD Singapore,1.37910762831305,103.768153816778,670102
102,HENDERSON CRES,14,1967,Y,N,N,N,140,40,102 HENDERSON CRES Singapore,1.290366187147,103.82157708445,150102
102,HOUGANG AVE 1,13,1983,Y,Y,N,N,90,56,102 HOUGANG AVE 1 Singapore,1.35496446293882,103.890855054687,530102
102,JLN RAJAH,12,1980,Y,Y,N,N,198,53,102 JLN RAJAH Singapore,1.32822306444761,103.851519753845,321102
102,JLN DUSUN,25,1981,Y,N,N,N,96,54,102 JLN DUSUN Singapore,1.3278687431847,103.844209602863,320102
102,JURONG EAST ST 13,12,1981,Y,N,N,N,196,54,102 JURONG EAST ST 13 Singapore,1.33609657873553,103.738219191663,600102
102,LENGKONG TIGA,14,1988,Y,N,N,N,73,61,102 LENGKONG TIGA Singapore,1.32557930714658,103.91065754789,410102
102,PASIR RIS ST 12,13,1988,Y,N,N,N,96,61,102 PASIR RIS ST 12 Singapore,1.36748427336516,103.958041055125,510102
102,POTONG PASIR AVE 1,16,1983,Y,Y,N,N,167,56,102 POTONG PASIR AVE 1 Singapore,1.3336901273759,103.868810587506,350102
102,PUNGGOL FIELD,1,2001,N,N,N,N,0,74,102 PUNGGOL FIELD Singapore,1.39828057833462,103.90565444548,820102
102,RIVERVALE WALK,17,1998,Y,N,N,N,129,71,102 RIVERVALE WALK Singapore,1.38180761026047,103.900893229708,540102
102,SERANGOON NTH AVE 1,4,1984,Y,N,N,N,24,57,102 SERANGOON NTH AVE 1 Singapore,1.37084327297737,103.871153606719,550102
102,SIMEI ST 1,11,1988,Y,N,N,N,100,61,102 SIMEI ST 1 Singapore,1.34134724976252,103.951355074928,520102
102,SPOTTISWOODE PK RD,20,1973,Y,Y,N,N,76,46,102 SPOTTISWOODE PK RD Singapore,,,
102,TAMPINES ST 11,11,1982,Y,N,N,N,140,55,102 TAMPINES ST 11 Singapore,1.34671616267656,103.945521388285,521102
102,TECK WHYE LANE,9,1988,Y,N,N,N,64,61,102 TECK WHYE LANE Singapore,1.377082841385,103.754394432037,680102
102,TOWNER RD,4,1983,Y,Y,N,N,36,56,102 TOWNER RD Singapore,1.32058609456907,103.862002015145,322102
